weekday,month,hour,vehicles,weekday_de,month_name
Friday,1,0,85.25,Freitag,January
Friday,1,1,49.5,Freitag,January
Friday,1,2,43.75,Freitag,January
Friday,1,3,38.0,Freitag,January
Friday,1,4,57.0,Freitag,January
Friday,1,5,145.5,Freitag,January
Friday,1,6,331.25,Freitag,January
Friday,1,7,411.5,Freitag,January
Friday,1,8,410.25,Freitag,January
Friday,1,9,411.25,Freitag,January
Friday,1,10,424.0,Freitag,January
Friday,1,11,393.75,Freitag,January
Friday,1,12,402.75,Freitag,January
Friday,1,13,420.0,Freitag,January
Friday,1,14,442.5,Freitag,January
Friday,1,15,409.25,Freitag,January
Friday,1,16,396.75,Freitag,January
Friday,1,17,415.25,Freitag,January
Friday,1,18,427.25,Freitag,January
Friday,1,19,327.75,Freitag,January
Friday,1,20,258.75,Freitag,January
Friday,1,21,219.0,Freitag,January
Friday,1,22,256.75,Freitag,January
Friday,1,23,198.0,Freitag,January
Friday,2,0,86.75,Freitag,February
Friday,2,1,53.25,Freitag,February
Friday,2,2,40.5,Freitag,February
Friday,2,3,37.0,Freitag,February
Friday,2,4,60.0,Freitag,February
Friday,2,5,147.0,Freitag,February
Friday,2,6,340.5,Freitag,February
Friday,2,7,439.75,Freitag,February
Friday,2,8,440.5,Freitag,February
Friday,2,9,403.75,Freitag,February
Friday,2,10,400.25,Freitag,February
Friday,2,11,394.0,Freitag,February
Friday,2,12,397.0,Freitag,February
Friday,2,13,410.25,Freitag,February
Friday,2,14,405.75,Freitag,February
Friday,2,15,420.5,Freitag,February
Friday,2,16,401.25,Freitag,February
Friday,2,17,403.75,Freitag,February
Friday,2,18,416.75,Freitag,February
Friday,2,19,336.0,Freitag,February
Friday,2,20,257.5,Freitag,February
Friday,2,21,226.25,Freitag,February
Friday,2,22,250.25,Freitag,February
Friday,2,23,189.25,Freitag,February
Friday,3,0,80.0,Freitag,March
Friday,3,1,57.0,Freitag,March
Friday,3,2,37.0,Freitag,March
Friday,3,3,40.5,Freitag,March
Friday,3,4,61.25,Freitag,March
Friday,3,5,153.75,Freitag,March
Friday,3,6,360.25,Freitag,March
Friday,3,7,454.5,Freitag,March
Friday,3,8,453.75,Freitag,March
Friday,3,9,408.75,Freitag,March
Friday,3,10,429.5,Freitag,March
Friday,3,11,405.5,Freitag,March
Friday,3,12,398.25,Freitag,March
Friday,3,13,430.0,Freitag,March
Friday,3,14,429.0,Freitag,March
Friday,3,15,430.0,Freitag,March
Friday,3,16,426.75,Freitag,March
Friday,3,17,424.0,Freitag,March
Friday,3,18,443.25,Freitag,March
Friday,3,19,350.25,Freitag,March
Friday,3,20,261.0,Freitag,March
Friday,3,21,262.5,Freitag,March
Friday,3,22,248.5,Freitag,March
Friday,3,23,230.0,Freitag,March
Friday,4,0,90.5,Freitag,April
Friday,4,1,60.75,Freitag,April
Friday,4,2,43.0,Freitag,April
Friday,4,3,41.0,Freitag,April
Friday,4,4,54.25,Freitag,April
Friday,4,5,148.25,Freitag,April
